name,market,funding_total_usd,status,country_code,state_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at
i-Human Patients,Health Care Information Technology,2039305,operating,USA,CA,Sunnyvale,1,2013-01-01,2012-12-26,2012-12-26
Immerse Learning,Education,2038317,operating,GBR,,London,2,2008-01-01,2011-03-17,2014-06-09
Rockola Media Group,News,2037750,closed,ESP,,Madrid,1,2010-01-01,2010-04-12,2010-04-12
WrapMail,Advertising,2036780,operating,USA,FL,Fort Lauderdale,3,2011-07-01,2011-01-10,2015-04-07
RapidBlue Solutions,Mobile Software Tools,2035650,acquired,FIN,,Helsinki,1,2010-01-01,2011-01-24,2011-01-24
Bioapter,Biotechnology,2033700,operating,ESP,,A Coruí±a,1,2004-08-01,2007-05-08,2007-05-08
Ministry of Games - MOG,Games,2033657,operating,FIN,,Helsinki,1,2014-11-01,2015-06-11,2015-06-11
North Carolina Biotechnology Center,Biotechnology,2033000,operating,USA,NC,Alexander,2,2008-12-01,2015-02-03,2015-02-03
GoodLux Technology,Personal Health,2032500,operating,USA,MA,Cambridge,3,2014-01-01,2014-07-23,2015-04-13
Solfex,Solar,2031980,operating,,,,1,2012-01-01,2011-09-01,2011-09-01
Molcure,Biotechnology,2031932,operating,JPN,,Tokyo,5,2012-05-15,2013-02-07,2014-09-27
Active SONAR .Inc,E-Commerce,2031465,operating,,,,1,2009-01-01,2014-12-09,2014-12-09
Wavebreak Media,Video,2030939,operating,,,,3,,2010-09-25,2015-03-26
CardStar,iPhone,2030882,acquired,USA,MA,Boston,4,,2008-12-01,2011-09-13
FemmePharma Global Healthcare,Health and Wellness,2030580,operating,USA,PA,Wayne,2,2011-01-01,2010-04-14,2011-11-01
Ostial Solutions,Biotechnology,2030090,operating,USA,MI,Kalamazoo,2,2011-07-17,2010-09-08,2011-05-17
JAZZ TECHNOLOGIES,Semiconductors,2030000,acquired,USA,MD,Suitland,2,2011-03-28,2005-08-26,2006-03-08
Orchestra Networks,Software,2030000,operating,FRA,,Paris,1,2010-04-27,2007-05-14,2007-05-14
Shopventory,Finance,2030000,operating,USA,CA,San Diego,3,2010-11-24,2013-05-13,2013-10-11
TRONICS GROUP,Manufacturing,2030000,ipo,,,,1,2008-11-28,2006-03-14,2006-03-14
Wonder Works Media,Software,2030000,operating,GBR,,London,1,1911-01-01,2006-04-01,2006-04-01
Constant Commerce,Retail Technology,2029585,operating,GBR,,London,4,2011-12-09,2012-06-29,2014-01-12
"I AND C-Cruise.Co,Ltd.",Clean Technology,2028545,operating,JPN,,Minato,4,2010-01-01,2010-01-27,2015-02-20
Reapplix,Biotechnology,2028242,operating,DNK,,BirkeríŸd,3,,2009-03-09,2011-03-04
Luxury Fashion Trade,Fashion,2026500,operating,DEU,,Frankfurt,2,,2011-02-15,2014-06-04
Medrio,Health and Wellness,2026196,operating,USA,CA,San Francisco,1,2013-03-07,2011-10-31,2011-10-31
Albiorex,Hardware + Software,2025000,operating,USA,FL,Palm Harbor,1,,2009-02-09,2009-02-09
BlockScore,Software,2025000,operating,USA,CA,Palo Alto,2,2010-01-01,2013-06-01,2014-06-25
elicit,Search,2025000,operating,USA,IL,Chicago,2,,2012-05-15,2014-04-25
HealthScripts of America,Biotechnology,2025000,operating,USA,TX,Katy,6,2005-01-01,2013-09-27,2014-09-10
Kuddle,Photo Sharing,2025000,operating,NOR,,Fornebu,5,2014-01-01,2014-05-26,2015-01-16
Lendeavor,Financial Services,2025000,operating,USA,CA,San Francisco,2,2001-01-01,2014-01-01,2015-07-22
New Futuro,Software,2025000,operating,USA,IL,Chicago,2,,2011-02-15,2012-08-13
Paintzen,Curated Web,2025000,operating,USA,NY,New York,3,2013-08-01,2013-09-24,2014-10-16
Saba Labs,Health and Wellness,2025000,operating,GBR,,Birmingham,1,2007-01-01,2015-08-24,2015-08-24
